lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
compensate|v. 弥补；给赔偿|Who will compensate for the losses?|谁将赔偿损失？|compensate for 补偿。。损失 compensate sb for sth 补偿谁的什么损失|【辨析】compensation n.赔偿金，补偿金；compensatory adj.赔偿的；competent    adj.能干的，能胜任的；competence   n.能力，胜任；complicated  adj.复杂的，难处理的；complete     adj.完全的，彻底的；compliment   n.赞扬，称赞；compromise   n.折中，妥协；compulsory   adj.必须做的，义务的，强制的；【变形】现在分词：compensating
dimensional|adj. 维度的|The engineer created a three- dimensional model using machines.|工程师用机器制作了三维模型。|three- dimensional 三维；dimensional object 三维物体|【辨析】dimension n.大小，尺寸；【谐音】得门神闹(dimensional)"：这是另一个维度空间的事情。
canteen|n. 食堂；水壶；餐具盒|There is a staff canteen to the east of our company.|我们公司的东边有一个员工食堂。|deck out 装饰 打扮|【辨析】cartoon n.漫画，讽刺画；cotton  n.棉，棉花；【谐音】can餐teen厅(canteen)"：另一种餐厅，即食堂。
guy|n. 家伙；男人，小伙子|Do you mean the guy with the black hair?|你说的是那个黑头发的男人吗？|guy buy 连面包都买不起的家伙。|【辨析】gay  adj.同性恋的；gum  n.牙龈，牙床；gun  n.枪，炮；gym  n.体育馆，健身房；glue n.胶水；gang n.（青少年的）帮派，团伙；【谐音】该(guy)"：这家伙真该！
previous|adj. 先前的|Do you have any previous experience of this kind of work?|你以前有过此类工作的经验吗？|unlike the previous stages 不像之前的那些个阶段|【辨析】previously adv.以前地，先前地；precious   adj.宝贵的，珍贵的；precise    adj.精确的，准确的；present    adj.（人）在场的，出席的
textbook|n. 教材，课本；adj. 规范的，标准的|The teaching of this course is based on a medical textbook .|本课程的教学基于一本医学教材。|specialized textbook 专业教科书|【辨析】text     n.（书、杂志等中区别于图片的）正文，文字材料；notebook n.笔记本；textile  n.纺织物，织物
equipment|n. 设备，装备|The company bought some new office equipment .|公司购置了一些新的办公室设备。|office equipment 公司设备|【辨析】equivalent adj.等同的，等效的；implement  v.执行，贯彻；equip      v.装备，配备；equality   n.均等，平等；instrument n.器械；equator    n.赤道；【谐音】一块破门(equipment)"：一块破门就能当装备（盾牌）。
swim|n. 游泳；v. 游泳；游动|The boys swam across the lake.|男孩子们游到了湖对岸。||【辨析】swing    v.（使）摆动，摇荡；him      pron.他（宾格）；swimming n.游泳；wing     n.（鸟、昆虫或蝙蝠的）翅膀，翼；【谐音】思维目(swim)"：思维目游泳很厉害。；【变形】过去式：swam；过去分词：swum；现在分词：swimming
distinguishable|adj. 可区分的|The fake was easily distinguishable from the original painting.|这幅赝品很容易与原画区分开来。|distinguished a 卓越的|【辨析】distinguish   v.使有别于；distinguished adj.卓越的，杰出的；distinctive   adj.独特的，与众不同的；【谐音】this钉贵些了吧(distinguishable)"：这些钉子太贵了，一眼就能区别出来。
postponement|n. 延期，推迟|Rain caused the postponement of several matches.|好几场比赛都因雨延迟。|postpone v 推迟；postpone vt 推迟|【辨析】postpone v.推迟，延缓；【谐音】破事(post)盆(pone)门(ment)"：破事太多，只能把事情推迟了。
sink|v. （使）下沉；下陷；降低；坐下，倒下；n. 洗碗槽；洗脸盆|The ship sank to the bottom of the sea.|船沉入海底。|sink into sth 渐渐进入（状态）；sink one's arrogance 忍气吞声；sink in 被理解，被理会|【辨析】silk n.丝绸，丝线；sick adj.生病的，患病的；link v.连接；pink adj.粉红色的；sin  n.（违背宗教或道德的）罪，罪恶；ink  n.墨水，油墨；skin n.皮，皮肤；suck v.吸，吮，啜；sock n.短袜；【谐音】渗刻(sink)"：进去了就是沉没，下陷。；【变形】过去式：sank；过去分词：sunk
automatic|adj. 自动的|The automatic equipment highly improved the productivity.|这台自动化设备极大提高了生产率。|automatic timing 自动定时|【辨析】automate      v.使自动化；automation    n.自动化；automatically adv.自然地，必然地；automobile    n.汽车；autonomous    adj.自治的，有自治权的；【谐音】奥特曼(auto)拿(matic)"：奥特曼自动拿来的。
prime|adj. 首要的；典型的；优质的；n. 盛年，鼎盛时期|His prime concern is to protect his daughter.|他最关心的是保护女儿的安全。|in one's prime 在某人风华正茂时；prime time 黄金时段；prime minister 总理；prime example 典范|【辨析】prior     adj.先前的，事先的；primary   adj.主要的，首要的；premier   adj.首要的，最好的；primitive adj.原始的，远古的；【谐音】不赖嘛(prime)"：不赖就是最好的、首要的。；【变形】现在分词：priming
later|adj. 较晚的，以后的；后期的；adv. 后来，随后|My father will come to see me later .|我父亲晚些时候会来看我。|Later on 后来；sooner or later 迟早|【辨析】late   adj.晚期的，末期的；letter n.信，信函；latter adj.（两者之中的）后者的；last   adj.最后的
high|adj. 高的；adv. 在高处，向高处；（成本、价值）高，（数量）大；n. 最高水平；极大快乐|The house has a high wall all the way round it.|这栋房子的四周围着高墙。|high summer 盛夏|【辨析】highway   n.<美>公路，干道；height    n.身高；highlight v.突出，强调；【谐音】嗨(high)"：站在高处打招呼。
fortune|n. 财富；命运|I have had the good fortune to work with some brilliant directors.|我有幸与一些卓越的主管人员共事。|make a fortune 发大财；win fame and fortune 赢取名利|【辨析】fortunate   adj.幸运的；fortunately adv.幸运地；feature     n.特点，特征；future      n.未来，将来；furniture   n.家具；【谐音】福气(fortune)"：好福气就是好命运。
harbour|n. 海港；v. 心怀…；庇护|All the ships stayed in the harbour during the storm.|所有的船在暴风雨期间停在港口。|Pearl Harbour 珍珠港|【辨析】harbor    n.港，海港；labour    n.劳动；barber    n.理发师；neighbour n.邻居，邻人；【谐音】哈巴(harbour)"：这条哈巴狗被窝藏在海港。
island|n. 岛|He went to the island looking for treasure.|他去岛上寻找宝藏。|on the horizon 即将来临，地平线上；coral island 珊瑚岛；continental island 陆边岛|【辨析】land    n.陆地，地面；isolate v.孤立，分离；【谐音】爱尔兰的(island)"：爱尔兰是个岛国。
dare|v. 胆敢；激将|She said it as loudly as she dared .|她壮着胆子大声说了出来。|dare to do 敢于。。；How dare you 你竟敢：How dare you talk to me like that?|【辨析】bare adj.赤裸的；rare adj.少见的，不常发生的；care n.照料，护理；fare n.交通费用；are  v.是（be 的第二人称单复数现在式）；dear adj.珍视的；bear v.手持，携带；【谐音】胆儿(dare)"：有胆量，敢于做某事。
diagram|n. 图解，图表|The results are shown in diagram 2.|结果显示在表2上。||【辨析】dialog  n.对话；gram    n.克（公制重量单位，1000克等于1公斤）；program n.（计算机）程序（=programme）；dialect n.方言，土话；【谐音】呆瓜(diagram)"：只会看图表、图解。
complexity|n. 复杂性；难题|I often reflect on the beauty and complexity of life.|我经常思考人生的美丽与复杂。|reflect on 仔细思考 思考 反省 回想|【辨析】complex      adj.复杂的，难懂的；completely   adv.完全地，彻底地；complexion   n.肤色，气色；complaint    n.抱怨，投诉；complicate   v.使复杂化，使难以理解；complement   v.补充，补足；comply       v.遵从，服从；complicated  adj.复杂的，难处理的；compliment   n.赞扬，称赞；compliance   n.服从，遵守；complication n.使复杂化的难题（或困难）；【谐音】看破烂个city(complexity)"：看这个破城市，充满着复杂性。；【变形】复数形式：complexities
religion|n. 宗教（信仰）|Is there always a conflict between science and religion ?|科学和宗教信仰之间是否永远存在着冲突？|minister of religion 牧师 freedom of religion 宗教自由|【辨析】religious adj.宗教的，与宗教相关的；region    n.地区，区域；origin    n.起源，起因
moon|n. 月亮；卫星|The surface of the moon is uneven.|月球表面凹凸不平。|over the moon about 对某事某物欣喜若狂；waxes and wanes 阴晴圆缺|【辨析】noon  n.正午，中午；soon  adv.很快，马上，不久；mood  n.心境，情绪；mourn v.悼念，哀悼；month n.月，月份；mouth n.嘴，口腔；sun   n.太阳（the sun）；【谐音】沐恩(moon)"：我们沐浴在月亮恩赐的光辉下。
speech|n. 演说；讲话；口语|He made the announcement in a speech on television.|他在一次电视讲话中发表了这一声明。|deliver a speech 做演讲；part of speech 词性 ，词类；opening speech 开场白 press club 记者俱乐部 give a speech to 向...发表演讲；give a speech to 向...发表演讲；are capable of speech 说话的能力|【辨析】speed n.（运动）速度；speak v.谈话，交谈；spell n.一段时间；【变形】复数形式：speeches
ceiling|n. 天花板；上限|She broke the glass ceiling to become the first woman winning the Fields Medal.|她打破了玻璃天花板，成为第一位获得菲尔兹奖的女性。|hit the ceiling 暴跳如雷；price ceiling 最高价；price ceilings 最高价|【辨析】calling n.强烈愿望，使命感；cell    n.细胞；【谐音】谁(cei)灵(ling)"：谁灵巧谁就能爬上天花板。
pound|n. 镑；英镑；v. 捣碎；反复击打；咚咚地走；怦怦地跳|The pound steadied against the dollar.|英镑对美元的汇率稳定下来。|pounding bass 浑厚的低音；press pound 输入#号|【辨析】bound adj.必然的，肯定的；wound n.（刀、枪或其他武器所致的）创伤，伤口；sound n.声音，声响；pond  n.（人工或自然的）池塘；proud adj.自豪的，得意的
distinction|n. 差异；区分；卓越|Distinctions between traditional and modern societies are pretty clear.|传统社会和现代社会的差别很明显。||【辨析】distinctive    adj.独特的，与众不同的；distinct       adj.不同的，有区别的；destruction    n.破坏，摧毁；destination    n.目的地，终点，目标；distinguish    v.使有别于；extinction     n.灭绝，消亡；discrimination n.歧视，区别对待；instinct       n.本能，天性；distinguished  adj.卓越的，杰出的
